"","official_full","gender","party","state","birthday"
"470","Frank C. Guinta","M","Republican","NH","1970-09-26"
"471","Gary J. Palmer","M","Republican","AL","1954-05-14"
"472","J. French Hill","M","Republican","AR","1956-12-05"
"473","Bruce Westerman","M","Republican","AR","1967-11-18"
"474","Martha McSally","F","Republican","AZ","1966-03-22"
"475","Ruben Gallego","M","Democrat","AZ","1979-11-20"
"476","Mark DeSaulnier","M","Democrat","CA","1952-03-31"
"477","Stephen Knight","M","Republican","CA","1966-12-17"
"478","Pete Aguilar","M","Democrat","CA","1979-06-19"
"479","Ted Lieu","M","Democrat","CA","1969-03-29"
"480","Norma J. Torres","F","Democrat","CA","1965-04-04"
"481","Mimi Walters","F","Republican","CA","1962-05-14"
"482","Ken Buck","M","Republican","CO","1959-02-16"
"483","Gwen Graham","F","Democrat","FL","1963-01-31"
"484","Carlos Curbelo","M","Republican","FL","1980-03-01"
"485","Earl L. ""Buddy"" Carter","M","Republican","GA","1957-09-06"
"486","Jody B. Hice","M","Republican","GA","1960-04-22"
"487","Barry Loudermilk","M","Republican","GA","1963-12-22"
"488","Rick W. Allen","M","Republican","GA","1951-11-07"
"489","Rod Blum","M","Republican","IA","1955-04-26"
"490","David Young","M","Republican","IA","1968-05-11"
"491","Mike Bost","M","Republican","IL","1960-12-30"
"492","Ralph Lee Abraham","M","Republican","LA","1954-09-16"
"493","Garret Graves","M","Republican","LA","1972-01-31"
"494","Seth Moulton","M","Democrat","MA","1978-10-24"
"495","Bruce Poliquin","M","Republican","ME","1953-11-01"
"496","John R. Moolenaar","M","Republican","MI","1961-05-08"
"497","Mike Bishop","M","Republican","MI","1967-03-18"
"498","David A. Trott","M","Republican","MI","1960-10-16"
"499","Debbie Dingell","F","Democrat","MI","1953-11-23"
"500","Brenda L. Lawrence","F","Democrat","MI","1954-10-18"
"501","Tom Emmer","M","Republican","MN","1961-03-03"
"502","Ryan K. Zinke","M","Republican","MT","1961-11-01"
"503","David Rouzer","M","Republican","NC","1972-02-16"
"504","Brad Ashford","M","Democrat","NE","1949-11-10"
"505","Thomas MacArthur","M","Republican","NJ","1960-10-16"
"506","Bonnie Watson Coleman","F","Democrat","NJ","1945-02-06"
"507","Cresent Hardy","M","Republican","NV","1957-06-23"
"508","Lee M. Zeldin","M","Republican","NY","1980-01-30"
"509","Kathleen M. Rice","F","Democrat","NY","1965-02-15"
"510","Elise M. Stefanik","F","Republican","NY","1984-07-02"
"511","John Katko","M","Republican","NY","1962-11-09"
"512","Steve Russell","M","Republican","OK","1963-05-25"
"513","Ryan A. Costello","M","Republican","PA","1976-09-07"
"514","Brendan F. Boyle","M","Democrat","PA","1977-02-06"
"515","John Ratcliffe","M","Republican","TX","1965-10-20"
"516","Will Hurd","M","Republican","TX","1977-08-19"
"517","Brian Babin","M","Republican","TX","1948-03-23"
"518","Mia B. Love","F","Republican","UT","1975-12-06"
"519","Donald S. Beyer Jr.","M","Democrat","VA","1950-06-20"
"520","Barbara Comstock","F","Republican","VA","1959-06-30"
"521","Stacey E. Plaskett","F","Democrat","VI","1964-05-13"
"522","Dan Newhouse","M","Republican","WA","1955-07-10"
"523","Glenn Grothman","M","Republican","WI","1955-07-03"
"524","Alexander X. Mooney","M","Republican","WV","1971-06-05"
"525","Evan H. Jenkins","M","Republican","WV","1960-09-12"
"526","Aumua Amata Coleman Radewagen","F","Republican","AS","1947-12-29"
"527","Daniel Sullivan","M","Republican","AK","1964-11-13"
"528","David Perdue","M","Republican","GA","1949-12-10"
"529","Joni Ernst","F","Republican","IA","1970-07-01"
"530","Thom Tillis","M","Republican","NC","1960-08-30"
"531","Mike Rounds","M","Republican","SD","1954-10-24"
"532","Mark Walker","M","Republican","NC","1969-05-20"
"533","Ben Sasse","M","Republican","NE","1972-02-22"
"534","Daniel M. Donovan Jr.","M","Republican","NY","1956-11-06"
"535","Trent Kelly","M","Republican","MS","1966-03-01"
"536","Darin LaHood","M","Republican","IL","1968-07-05"
"537","Warren Davidson","M","Republican","OH","1970-03-01"
"538","Colleen Hanabusa","F","Democrat","HI","1951-05-04"
"539","James Comer","M","Republican","KY","1972-08-19"
"540","Dwight Evans","M","Democrat","PA","1954-05-16"
