"","govtrack","twitter","official_full","gender","party","state","birthday","official","ProgCauc","FreeCauc"
"270",412290,"RepLanceNJ7","Leonard Lance","M","Republican","NJ","1952-06-25","Leonard Lance","0",0
"271",412292,"RepBlainePress","Blaine Luetkemeyer","M","Republican","MO","1952-05-07","Blaine Luetkemeyer","0",0
"272",412293,"RepBenRayLujan","Ben Ray Luján","M","Democrat","NM","1972-06-07","Ben Luján","0",0
"273",412294,"CynthiaLummis","Cynthia M. Lummis","F","Republican","WY","1954-09-10","Cynthia Lummis","0",1
"274",412295,"RepMcClintock","Tom McClintock","M","Republican","CA","1956-07-10","Tom McClintock","0",0
"275",412302,"RepPeteOlson","Pete Olson","M","Republican","TX","1962-12-09","Pete Olson","0",0
"276",412303,"RepErikPaulsen","Erik Paulsen","M","Republican","MN","1965-05-14","Erik Paulsen","0",0
"277",412305,"SenGaryPeters","Gary C. Peters","M","Democrat","MI","1958-12-01","Gary Peters","0",0
"278",412306,"PedroPierluisi","Pedro R. Pierluisi","M","Democrat","PR","1959-04-26","Pedro Pierluisi","0",0
"279",412307,"ChelliePingree","Chellie Pingree","F","Democrat","ME","1955-04-02","Chellie Pingree","1",0
"280",412308,"JaredPolis","Jared Polis","M","Democrat","CO","1975-05-12","Jared Polis","1",0
"281",412309,"CongBillPosey","Bill Posey","M","Republican","FL","1947-12-18","Bill Posey","0",1
"282",412310,"DrPhilRoe","David P. Roe","M","Republican","TN","1945-07-21","David Roe","0",0
"283",412311,"TomRooney","Thomas J. Rooney","M","Republican","FL","1970-11-21","Thomas Rooney","0",0
"285",412315,"RepSchrader","Kurt Schrader","M","Democrat","OR","1951-10-19","Kurt Schrader","0",0
"286",412317,"CongressmanGT","Glenn Thompson","M","Republican","PA","1959-07-27","Glenn Thompson","0",0
"287",412318,"RepDinaTitus","Dina Titus","F","Democrat","NV","1950-05-23","Dina Titus","0",0
"288",412319,"RepPaulTonko","Paul Tonko","M","Democrat","NY","1949-06-18","Paul Tonko","0",0
"289",412321,"MarkWarner","Mark R. Warner","M","Democrat","VA","1954-12-15","Mark Warner","0",0
"290",412322,"SenatorRisch","James E. Risch","M","Republican","ID","1943-05-03","James Risch","0",0
"291",412323,"SenatorShaheen","Jeanne Shaheen","F","Democrat","NH","1947-01-28","Jeanne Shaheen","0",0
"292",412325,"SenJeffMerkley","Jeff Merkley","M","Democrat","OR","1956-10-24","Jeff Merkley","0",0
"293",412327,"RepMarciaFudge","Marcia L. Fudge","F","Democrat","OH","1952-10-29","Marcia Fudge","1",0
"294",412330,"SenBennetCo","Michael F. Bennet","M","Democrat","CO","1964-11-28","Michael Bennet","0",0
"295",412331,"RepMikeQuigley","Mike Quigley","M","Democrat","IL","1958-10-17","Mike Quigley","0",0
"296",412378,"SenFranken","Al Franken","M","Democrat","MN","1951-05-21","Al Franken","0",0
"297",412379,"RepJudyChu","Judy Chu","F","Democrat","CA","1953-07-07","Judy Chu","1",0
"298",412382,"RepGaramendi","John Garamendi","M","Democrat","CA","1945-01-24","John Garamendi","0",0
"299",412385,"RepTedDeutch","Theodore E. Deutch","M","Democrat","FL","1966-05-07","Theodore Deutch","0",0
"300",412388,"RepTomGraves","Tom Graves","M","Republican","GA","1970-02-03","Tom Graves","0",0
"301",412390,"SenCoonsOffice","Christopher A. Coons","M","Democrat","DE","1963-09-09","Christopher Coons","0",0
"302",412391,"Sen_JoeManchin","Joe Manchin, III","M","Democrat","WV","1947-08-24","Joe III","1",0
"303",412392,"RepStutzman","Marlin A. Stutzman","M","Republican","IN","1976-08-31","Marlin Stutzman","0",1
"304",412393,"RepTomReed","Tom Reed","M","Republican","NY","1971-11-18","Tom Reed","0",0
"305",412394,"RepMarthaRoby","Martha Roby","F","Republican","AL","1976-07-27","Martha Roby","0",0
"306",412395,"RepMoBrooks","Mo Brooks","M","Republican","AL","1954-04-29","Mo Brooks","0",1
"307",412396,"RepTerriSewell","Terri A. Sewell","F","Democrat","AL","1965-01-01","Terri Sewell","0",0
"308",412397,"RepGosar","Paul A. Gosar","M","Republican","AZ","1958-11-22","Paul Gosar","0",1
"309",412399,"RepDavid","David Schweikert","M","Republican","AZ","1962-03-03","David Schweikert","0",1
"310",412400,"RepRickCrawford","Eric A. ""Rick"" Crawford","M","Republican","AR","1966-01-22","Eric Crawford","0",0
"311",412402,"Rep_SteveWomack","Steve Womack","M","Republican","AR","1957-02-18","Steve Womack","0",0
"312",412403,"RepJeffDenham","Jeff Denham","M","Republican","CA","1967-07-29","Jeff Denham","0",0
"313",412404,"RepKarenBass","Karen Bass","F","Democrat","CA","1953-10-03","Karen Bass","0",0
"314",412405,"RepTipton","Scott R. Tipton","M","Republican","CO","1956-11-09","Scott Tipton","0",0
"315",412406,"SenCoryGardner","Cory Gardner","M","Republican","CO","1974-08-22","Cory Gardner","0",0
"316",412407,"JohnCarneyde","John C. Carney Jr.","M","Democrat","DE","1956-05-20","John Jr.","0",0
"317",412409,"RepRichNugent","Richard B. Nugent","M","Republican","FL","1951-05-26","Richard Nugent","0",0
"318",412410,"RepWebster","Daniel Webster","M","Republican","FL","1949-04-27","Daniel Webster","0",0
"319",412411,"RepDennisRoss","Dennis A. Ross","M","Republican","FL","1959-10-18","Dennis Ross","0",0
"320",412412,"RepWilson","Frederica S. Wilson","F","Democrat","FL","1942-11-05","Frederica Wilson","1",0
"321",412416,"RepRobWoodall","Rob Woodall","M","Republican","GA","1970-02-11","Rob Woodall","0",0
"322",412417,"AustinScottGA08","Austin Scott","M","Republican","GA","1969-12-10","Austin Scott","0",0
"323",412419,"Raul_Labrador","Raúl R. Labrador","M","Republican","ID","1967-12-08","Raúl Labrador","0",1
"324",412420,"RepDold","Robert J. Dold","M","Republican","IL","1969-06-23","Robert Dold","0",0
"325",412421,"RepKinzinger","Adam Kinzinger","M","Republican","IL","1978-02-27","Adam Kinzinger","0",0
"326",412422,"RepHultgren","Randy Hultgren","M","Republican","IL","1966-03-01","Randy Hultgren","0",0
"327",412426,"ToddRokita","Todd Rokita","M","Republican","IN","1970-02-09","Todd Rokita","0",0
"328",412427,"RepLarryBucshon","Larry Bucshon","M","Republican","IN","1962-05-31","Larry Bucshon","0",0
"329",412428,"RepToddYoung","Todd C. Young","M","Republican","IN","1972-08-24","Todd Young","0",0
"330",412429,"CongHuelskamp","Tim Huelskamp","M","Republican","KS","1968-11-11","Tim Huelskamp","0",1
"331",412430,"RepKevinYoder","Kevin Yoder","M","Republican","KS","1976-01-08","Kevin Yoder","0",0
"332",412431,"RepMikePompeo","Mike Pompeo","M","Republican","KS","1963-12-30","Mike Pompeo","0",0
"333",412432,"RepRichmond","Cedric L. Richmond","M","Democrat","LA","1973-09-13","Cedric Richmond","0",0
"334",412434,"RepAndyHarrisMD","Andy Harris","M","Republican","MD","1957-01-25","Andy Harris","0",1
"335",412435,"USRepKeating","William R. Keating","M","Democrat","MA","1952-09-06","William Keating","0",0
"336",412436,"CongressmanDan","Dan Benishek","M","Republican","MI","1952-04-20","Dan Benishek","0",0
"337",412437,"RepHuizenga","Bill Huizenga","M","Republican","MI","1969-01-31","Bill Huizenga","0",0
"339",412443,"CongPalazzo","Steven M. Palazzo","M","Republican","MS","1970-02-21","Steven Palazzo","0",0
"340",412444,"RepHartzler","Vicky Hartzler","F","Republican","MO","1960-10-13","Vicky Hartzler","0",0
"341",412445,"USRepLong","Billy Long","M","Republican","MO","1955-08-11","Billy Long","0",0
"342",412446,"RepJoeHeck","Joseph J. Heck","M","Republican","NV","1961-10-30","Joseph Heck","0",0
"343",412447,"RepFrankGuinta","Frank C. Guinta","M","Republican","NH","1970-09-26","Frank Guinta","0",0
"344",412453,"RepChrisGibson","Christopher P. Gibson","M","Republican","NY","1964-05-13","Christopher Gibson","0",0
"345",412454,"RepRichardHanna","Richard L. Hanna","M","Republican","NY","1951-01-25","Richard Hanna","0",0
"346",412457,"RepReneeEllmers","Renee L. Ellmers","F","Republican","NC","1964-02-09","Renee Ellmers","0",0
"347",412460,"RepBillJohnson","Bill Johnson","M","Republican","OH","1954-11-10","Bill Johnson","0",0
"348",412461,"RepSteveStivers","Steve Stivers","M","Republican","OH","1965-03-24","Steve Stivers","0",0
"349",412462,"RepJimRenacci","James B. Renacci","M","Republican","OH","1958-12-03","James Renacci","0",0
"350",412463,"RepBobGibbs","Bob Gibbs","M","Republican","OH","1954-06-14","Bob Gibbs","0",0
"351",412464,"SenatorLankford","James Lankford","M","Republican","OK","1968-03-04","James Lankford","0",0
"352",412465,"MikeKellyPA","Mike Kelly","M","Republican","PA","1948-05-10","Mike Kelly","0",0
"353",412466,"RepMeehan","Patrick Meehan","M","Republican","PA","1955-10-20","Patrick Meehan","0",0
"354",412468,"RepTomMarino","Tom Marino","M","Republican","PA","1952-08-15","Tom Marino","0",0
"355",412469,"RepLouBarletta","Lou Barletta","M","Republican","PA","1956-01-28","Lou Barletta","0",0
"356",412470,"RepCicilline","David N. Cicilline","M","Democrat","RI","1961-07-15","David Cicilline","1",0
"357",412471,"SenatorTimScott","Tim Scott","M","Republican","SC","1965-09-19","Tim Scott","0",0
"358",412472,"RepJeffDuncan","Jeff Duncan","M","Republican","SC","1966-01-07","Jeff Duncan","0",1
"359",412473,"TGowdySC","Trey Gowdy","M","Republican","SC","1964-08-22","Trey Gowdy","0",0
"360",412474,"RepMickMulvaney","Mick Mulvaney","M","Republican","SC","1967-07-21","Mick Mulvaney","0",1
"361",412475,"RepKristiNoem","Kristi L. Noem","F","Republican","SD","1971-11-30","Kristi Noem","0",0
"362",412476,"RepChuck","Charles J. ""Chuck"" Fleischmann","M","Republican","TN","1962-10-11","Charles Fleischmann","0",0
"363",412477,"DesJarlaisTN04","Scott DesJarlais","M","Republican","TN","1964-02-21","Scott DesJarlais","0",1
"364",412478,"RepDianeBlack","Diane Black","F","Republican","TN","1951-01-16","Diane Black","0",0
"365",412479,"RepFincherTN08","Stephen Lee Fincher","M","Republican","TN","1973-02-07","Stephen Fincher","0",0
"366",412480,"RepBillFlores","Bill Flores","M","Republican","TX","1954-02-25","Bill Flores","0",0
"367",412482,"Farenthold","Blake Farenthold","M","Republican","TX","1961-12-12","Blake Farenthold","0",0
"368",412483,"RepScottRigell","E. Scott Rigell","M","Republican","VA","1960-05-28","E. Rigell","0",0
"369",412484,"RepRobertHurt","Robert Hurt","M","Republican","VA","1969-06-16","Robert Hurt","0",0
"370",412485,"RepMGriffith","H. Morgan Griffith","M","Republican","VA","1958-03-15","H. Griffith","0",0
"371",412486,"HerreraBeutler","Jaime Herrera Beutler","F","Republican","WA","1978-11-03","Jaime Beutler","0",0
"372",412487,"RepMcKinley","David B. McKinley","M","Republican","WV","1947-03-28","David McKinley","0",0
"373",412488,"RepSeanDuffy","Sean P. Duffy","M","Republican","WI","1971-10-03","Sean Duffy","0",0
"374",412489,"RepRibble","Reid J. Ribble","M","Republican","WI","1956-04-05","Reid Ribble","0",0
"375",412490,"SenBlumenthal","Richard Blumenthal","M","Democrat","CT","1946-02-13","Richard Blumenthal","0",0
"376",412491,"SenRubioPress","Marco Rubio","M","Republican","FL","1971-05-28","Marco Rubio","0",0
"378",412493,"KellyAyotte","Kelly Ayotte","F","Republican","NH","1968-06-27","Kelly Ayotte","0",0
"379",412494,"SenJohnHoeven","John Hoeven","M","Republican","ND","1957-03-13","John Hoeven","0",0
"380",412495,"SenMikeLee","Mike Lee","M","Republican","UT","1971-06-04","Mike Lee","0",0
"381",412496,"SenRonJohnson","Ron Johnson","M","Republican","WI","1955-04-08","Ron Johnson","0",0
"382",412500,"MarkAmodeiNV2","Mark E. Amodei","M","Republican","NV","1958-06-12","Mark Amodei","0",0
"383",412501,"RepBonamici","Suzanne Bonamici","F","Democrat","OR","1954-10-14","Suzanne Bonamici","1",1
"384",412505,"RepDelBene","Suzan K. DelBene","F","Democrat","WA","1962-02-17","Suzan DelBene","0",0
"385",412506,"RepDonaldPayne","Donald M. Payne Jr.","M","Democrat","NJ","1958-12-17","Donald Jr.","0",0
"386",412507,"SenBrianSchatz","Brian Schatz","M","Democrat","HI","1972-10-20","Brian Schatz","0",0
"387",412508,"SenTomCotton","Tom Cotton","M","Republican","AR","1977-05-13","Tom Cotton","0",0
"388",412509,"RepSinema","Kyrsten Sinema","F","Democrat","AZ","1976-07-12","Kyrsten Sinema","0",0
"389",412510,"RepLaMalfa","Doug LaMalfa","M","Republican","CA","1960-07-02","Doug LaMalfa","0",0
"390",412511,"RepHuffman","Jared Huffman","M","Democrat","CA","1964-02-18","Jared Huffman","1",0
"391",412512,"RepBera","Ami Bera","M","Democrat","CA","1965-03-02","Ami Bera","0",0
"392",412513,"RepPaulCook","Paul Cook","M","Republican","CA","1943-03-03","Paul Cook","0",0
"393",412514,"RepSwalwell","Eric Swalwell","M","Democrat","CA","1980-11-16","Eric Swalwell","0",0
"394",412515,"RepDavidValadao","David G. Valadao","M","Republican","CA","1977-04-14","David Valadao","0",0
"395",412516,"JuliaBrownley26","Julia Brownley","F","Democrat","CA","1952-08-28","Julia Brownley","0",0
"396",412517,"RepCardenas","Tony Cárdenas","M","Democrat","CA","1963-03-31","Tony Cárdenas","0",0
"397",412519,"CongressmanRuiz","Raul Ruiz","M","Democrat","CA","1972-08-25","Raul Ruiz","0",0
"398",412520,"RepMarkTakano","Mark Takano","M","Democrat","CA","1960-12-10","Mark Takano","1",0
"399",412521,"RepLowenthal","Alan S. Lowenthal","M","Democrat","CA","1941-03-08","Alan Lowenthal","1",0
"400",412522,"RepJuanVargas","Juan Vargas","M","Democrat","CA","1961-03-07","Juan Vargas","0",0
"401",412523,"RepScottPeters","Scott H. Peters","M","Democrat","CA","1958-06-17","Scott Peters","0",0
"402",412524,"RepEsty","Elizabeth H. Esty","F","Democrat","CT","1959-08-25","Elizabeth Esty","0",0
"403",412525,"RepTedYoho","Ted S. Yoho","M","Republican","FL","1955-04-13","Ted Yoho","0",1
"404",412526,"RepDeSantis","Ron DeSantis","M","Republican","FL","1978-09-14","Ron DeSantis","0",0
"405",412527,"RepMurphyFL","Patrick Murphy","M","Democrat","FL","1983-03-30","Patrick Murphy","0",0
"406",412529,"RepLoisFrankel","Lois Frankel","F","Democrat","FL","1948-05-16","Lois Frankel","1",0
"407",412531,"RepDougCollins","Doug Collins","M","Republican","GA","1966-08-16","Doug Collins","0",0
"408",412532,"TulsiPress","Tulsi Gabbard","F","Democrat","HI","1981-04-12","Tulsi Gabbard","0",0
"409",412533,"RepDuckworth","Tammy Duckworth","F","Democrat","IL","1968-03-12","Tammy Duckworth","0",0
"410",412536,"RodneyDavis","Rodney Davis","M","Republican","IL","1970-01-05","Rodney Davis","0",0
"411",412537,"RepCheri","Cheri Bustos","F","Democrat","IL","1961-10-17","Cheri Bustos","0",0
"412",412538,"RepWalorski","Jackie Walorski","F","Republican","IN","1963-08-17","Jackie Walorski","0",0
"413",412539,"SusanWBrooks","Susan W. Brooks","F","Republican","IN","1960-08-25","Susan Brooks","0",0
"414",412540,"RepLukeMesser","Luke Messer","M","Republican","IN","1969-02-27","Luke Messer","0",0
"415",412541,"RepAndyBarr","Andy Barr","M","Republican","KY","1973-07-24","Andy Barr","0",0
"416",412542,"SenWarren","Elizabeth Warren","F","Democrat","MA","1949-06-22","Elizabeth Warren","0",0
"417",412543,"RepJoeKennedy","Joseph P. Kennedy III","M","Democrat","MA","1980-10-04","Joseph III","0",0
"418",412544,"RepJohnDelaney","John K. Delaney","M","Democrat","MD","1963-04-16","John Delaney","0",0
"419",412545,"SenAngusKing","Angus S. King, Jr.","M","Independent","ME","1944-03-31","Angus Jr.","0",0
"420",412546,"RepDanKildee","Daniel T. Kildee","M","Democrat","MI","1958-08-11","Daniel Kildee","0",0
"421",412548,"RepAnnWagner","Ann Wagner","F","Republican","MO","1962-09-13","Ann Wagner","0",0
"422",412549,"SteveDaines","Steve Daines","M","Republican","MT","1962-08-20","Steve Daines","0",0
"423",412550,"RepRichHudson","Richard Hudson","M","Republican","NC","1971-11-04","Richard Hudson","0",0
"424",412551,"RepPittenger","Robert Pittenger","M","Republican","NC","1948-08-15","Robert Pittenger","0",0
"425",412552,"RepMarkMeadows","Mark Meadows","M","Republican","NC","1959-07-28","Mark Meadows","0",1
"426",412553,"RepHolding","George Holding","M","Republican","NC","1968-04-17","George Holding","0",0
"427",412554,"SenatorHeitkamp","Heidi Heitkamp","F","Democrat","ND","1955-10-30","Heidi Heitkamp","0",0
"428",412555,"RepKevinCramer","Kevin Cramer","M","Republican","ND","1961-01-21","Kevin Cramer","0",0
"429",412556,"SenatorFischer","Deb Fischer","F","Republican","NE","1951-03-01","Deb Fischer","0",0
"430",412557,"RepAnnieKuster","Ann M. Kuster","F","Democrat","NH","1956-09-05","Ann Kuster","1",0
"431",412558,"RepLujanGrisham","Michelle Lujan Grisham","F","Democrat","NM","1959-10-24","Michelle Grisham","0",0
"432",412560,"RepGraceMeng","Grace Meng","F","Democrat","NY","1975-10-01","Grace Meng","0",0
"433",412561,"RepJeffries","Hakeem S. Jeffries","M","Democrat","NY","1970-08-04","Hakeem Jeffries","1",0
"434",412562,"RepSeanMaloney","Sean Patrick Maloney","M","Democrat","NY","1966-07-30","Sean Maloney","0",0
"435",412563,"RepChrisCollins","Chris Collins","M","Republican","NY","1950-05-20","Chris Collins","0",0
"436",412564,"RepBradWenstrup","Brad R. Wenstrup","M","Republican","OH","1958-06-17","Brad Wenstrup","0",0
"437",412565,"RepBeatty","Joyce Beatty","F","Democrat","OH","1950-03-12","Joyce Beatty","0",0
"438",412566,"RepDaveJoyce","David P. Joyce","M","Republican","OH","1957-03-17","David Joyce","0",0
"439",412567,"RepJBridenstine","Jim Bridenstine","M","Republican","OK","1975-06-15","Jim Bridenstine","0",1
"440",412568,"RepMullin","Markwayne Mullin","M","Republican","OK","1977-07-26","Markwayne Mullin","0",0
"441",412569,"RepScottPerry","Scott Perry","M","Republican","PA","1962-05-27","Scott Perry","0",1
"442",412570,"KeithRothfus","Keith J. Rothfus","M","Republican","PA","1962-04-25","Keith Rothfus","0",1
"443",412571,"RepCartwright","Matt Cartwright","M","Democrat","PA","1961-05-01","Matt Cartwright","1",0
"444",412572,"RepTomRice","Tom Rice","M","Republican","SC","1957-08-04","Tom Rice","0",0
"445",412573,"SenTedCruz","Ted Cruz","M","Republican","TX","1970-12-22","Ted Cruz","0",0
"446",412574,"TXRandy14","Randy K. Weber Sr.","M","Republican","TX","1953-07-02","Randy Sr.","0",0
"447",412575,"RepBetoORourke","Beto O'Rourke","M","Democrat","TX","1972-09-26","Beto O'Rourke","0",0
"448",412576,"JoaquinCastrotx","Joaquin Castro","M","Democrat","TX","1974-09-16","Joaquin Castro","0",0
"449",412578,"RepRWilliams","Roger Williams","M","Republican","TX","1949-09-13","Roger Williams","0",0
"450",412579,"RepVeasey","Marc A. Veasey","M","Democrat","TX","1971-01-03","Marc Veasey","0",0
"451",412580,"RepFilemonVela","Filemon Vela","M","Democrat","TX","1963-02-13","Filemon Vela","0",0
"452",412581,"RepChrisStewart","Chris Stewart","M","Republican","UT","1960-07-15","Chris Stewart","0",0
"453",412582,"SenKaineOffice","Tim Kaine","M","Democrat","VA","1958-02-26","Tim Kaine","0",0
"454",412583,"RepDerekKilmer","Derek Kilmer","M","Democrat","WA","1974-01-01","Derek Kilmer","0",0
"455",412584,"RepDennyHeck","Denny Heck","M","Democrat","WA","1952-07-29","Denny Heck","0",0
"456",412585,"RepMarkPocan","Mark Pocan","M","Democrat","WI","1964-08-14","Mark Pocan","1",0
"457",412596,"RepJasonSmith","Jason Smith","M","Republican","MO","1980-06-16","Jason Smith","0",0
"458",412598,"CoryBooker","Cory A. Booker","M","Democrat","NJ","1969-04-27","Cory Booker","0",0
"459",412600,"RepKClark","Katherine M. Clark","F","Democrat","MA","1963-07-17","Katherine Clark","1",1
"460",412601,"RepByrne","Bradley Byrne","M","Republican","AL","1955-02-16","Bradley Byrne","0",0
"461",412603,"USRepDavidJolly","David W. Jolly","M","Republican","FL","1972-10-31","David Jolly","0",0
"462",412604,"RepCurtClawson","Curt Clawson","M","Republican","FL","1959-09-28","Curt Clawson","0",1
"463",412605,"RepDaveBrat","Dave Brat","M","Republican","VA","1964-07-27","Dave Brat","0",0
"464",412606,"DonaldNorcross","Donald Norcross","M","Democrat","NJ","1958-12-13","Donald Norcross","0",0
"465",412607,"RepAdams","Alma S. Adams","F","Democrat","NC","1946-05-27","Alma Adams","1",0
"466",412608,"USRepGaryPalmer","Gary J. Palmer","M","Republican","AL","1954-05-14","Gary Palmer","0",1
"467",412609,"RepFrenchHill","J. French Hill","M","Republican","AR","1956-12-05","J. Hill","0",0
"468",412610,"RepWesterman","Bruce Westerman","M","Republican","AR","1967-11-18","Bruce Westerman","0",0
"469",412611,"RepMcSally","Martha McSally","F","Republican","AZ","1966-03-22","Martha McSally","0",0
"470",412612,"RepRubenGallego","Ruben Gallego","M","Democrat","AZ","1979-11-20","Ruben Gallego","0",0
"471",412613,"RepDeSaulnier","Mark DeSaulnier","M","Democrat","CA","1952-03-31","Mark DeSaulnier","0",0
"472",412614,"SteveKnight25","Stephen Knight","M","Republican","CA","1966-12-17","Stephen Knight","0",0
"473",412615,"reppeteaguilar","Pete Aguilar","M","Democrat","CA","1979-06-19","Pete Aguilar","0",0
"474",412616,"RepTedLieu","Ted Lieu","M","Democrat","CA","1969-03-29","Ted Lieu","1",0
"475",412617,"NormaJTorres","Norma J. Torres","F","Democrat","CA","1965-04-04","Norma Torres","0",0
"476",412618,"RepMimiWalters","Mimi Walters","F","Republican","CA","1962-05-14","Mimi Walters","0",1
"477",412619,"RepKenBuck","Ken Buck","M","Republican","CO","1959-02-16","Ken Buck","0",1
"478",412620,"RepGwenGraham","Gwen Graham","F","Democrat","FL","1963-01-31","Gwen Graham","0",0
"479",412621,"RepCurbelo","Carlos Curbelo","M","Republican","FL","1980-03-01","Carlos Curbelo","0",0
"480",412622,"RepBuddyCarter","Earl L. ""Buddy"" Carter","M","Republican","GA","1957-09-06","Earl Carter","0",0
"481",412623,"congressmanhice","Jody B. Hice","M","Republican","GA","1960-04-22","Jody Hice","0",1
"482",412624,"RepLoudermilk","Barry Loudermilk","M","Republican","GA","1963-12-22","Barry Loudermilk","0",1
"483",412625,"reprickallen","Rick W. Allen","M","Republican","GA","1951-11-07","Rick Allen","1",0
"484",412627,"RepRodBlum","Rod Blum","M","Republican","IA","1955-04-26","Rod Blum","0",1
"485",412628,"RepDavidYoung","David Young","M","Republican","IA","1968-05-11","David Young","0",0
"486",412629,"RepBost","Mike Bost","M","Republican","IL","1960-12-30","Mike Bost","0",0
"487",412630,"RepAbraham","Ralph Lee Abraham","M","Republican","LA","1954-09-16","Ralph Abraham","0",0
"488",412631,"RepGarretGraves","Garret Graves","M","Republican","LA","1972-01-31","Garret Graves","0",0
"489",412632,"teammoulton","Seth Moulton","M","Democrat","MA","1978-10-24","Seth Moulton","0",0
"490",412633,"RepPoliquin","Bruce Poliquin","M","Republican","ME","1953-11-01","Bruce Poliquin","0",0
"491",412634,"RepMoolenaar","John R. Moolenaar","M","Republican","MI","1961-05-08","John Moolenaar","0",0
"492",412635,"RepMikeBishop","Mike Bishop","M","Republican","MI","1967-03-18","Mike Bishop","0",0
"493",412636,"repdavetrott","David A. Trott","M","Republican","MI","1960-10-16","David Trott","0",0
"494",412637,"RepDebDingell","Debbie Dingell","F","Democrat","MI","1953-11-23","Debbie Dingell","0",0
"495",412638,"RepLawrence","Brenda L. Lawrence","F","Democrat","MI","1954-10-18","Brenda Lawrence","1",0
"496",412639,"RepTomEmmer","Tom Emmer","M","Republican","MN","1961-03-03","Tom Emmer","0",0
"497",412640,"RepRyanZinke","Ryan K. Zinke","M","Republican","MT","1961-11-01","Ryan Zinke","0",0
"498",412641,"RepDavidRouzer","David Rouzer","M","Republican","NC","1972-02-16","David Rouzer","0",0
"499",412642,"RepBradAshford","Brad Ashford","M","Democrat","NE","1949-11-10","Brad Ashford","0",0
"500",412643,"RepTomMacArthur","Thomas MacArthur","M","Republican","NJ","1960-10-16","Thomas MacArthur","0",0
"501",412644,"RepBonnie","Bonnie Watson Coleman","F","Democrat","NJ","1945-02-06","Bonnie Coleman","1",0
"502",412645,"RepHardy","Cresent Hardy","M","Republican","NV","1957-06-23","Cresent Hardy","0",0
"503",412646,"RepLeeZeldin","Lee M. Zeldin","M","Republican","NY","1980-01-30","Lee Zeldin","0",0
"504",412647,"RepKathleenRice","Kathleen M. Rice","F","Democrat","NY","1965-02-15","Kathleen Rice","0",0
"505",412648,"RepStefanik","Elise M. Stefanik","F","Republican","NY","1984-07-02","Elise Stefanik","0",0
"506",412649,"RepJohnKatko","John Katko","M","Republican","NY","1962-11-09","John Katko","0",0
"507",412650,"RepRussell","Steve Russell","M","Republican","OK","1963-05-25","Steve Russell","1",0
"508",412651,"RepRyanCostello","Ryan A. Costello","M","Republican","PA","1976-09-07","Ryan Costello","0",0
"509",412652,"RepBrendanBoyle","Brendan F. Boyle","M","Democrat","PA","1977-02-06","Brendan Boyle","0",0
"510",412653,"RepRatcliffe","John Ratcliffe","M","Republican","TX","1965-10-20","John Ratcliffe","0",0
"511",412654,"hurdonthehill","Will Hurd","M","Republican","TX","1977-08-19","Will Hurd","0",0
"512",412655,"RepBrianBabin","Brian Babin","M","Republican","TX","1948-03-23","Brian Babin","0",0
"513",412656,"repmialove","Mia B. Love","F","Republican","UT","1975-12-06","Mia Love","0",0
"514",412657,"repdonbeyer","Donald S. Beyer Jr.","M","Democrat","VA","1950-06-20","Donald Jr.","0",0
"515",412658,"RepComstock","Barbara Comstock","F","Republican","VA","1959-06-30","Barbara Comstock","0",0
"516",412659,"staceyplaskett","Stacey E. Plaskett","F","Democrat","VI","1964-05-13","Stacey Plaskett","0",0
"517",412660,"RepNewhouse","Dan Newhouse","M","Republican","WA","1955-07-10","Dan Newhouse","0",0
"518",412661,"RepGrothman","Glenn Grothman","M","Republican","WI","1955-07-03","Glenn Grothman","0",0
"519",412662,"RepAlexMooney","Alexander X. Mooney","M","Republican","WV","1971-06-05","Alexander Mooney","0",0
"520",412663,"RepEvanJenkins","Evan H. Jenkins","M","Republican","WV","1960-09-12","Evan Jenkins","0",0
"521",412664,"RepAmata","Aumua Amata Coleman Radewagen","F","Republican","AS","1947-12-29","Aumua Radewagen","0",0
"522",412665,"SenDanSullivan","Daniel Sullivan","M","Republican","AK","1964-11-13","Daniel Sullivan","0",0
"523",412666,"sendavidperdue","David Perdue","M","Republican","GA","1949-12-10","David Perdue","0",0
"524",412667,"SenJoniErnst","Joni Ernst","F","Republican","IA","1970-07-01","Joni Ernst","0",0
"525",412668,"senthomtillis","Thom Tillis","M","Republican","NC","1960-08-30","Thom Tillis","0",0
"526",412669,"SenatorRounds","Mike Rounds","M","Republican","SD","1954-10-24","Mike Rounds","0",0
"527",412670,"RepMarkWalker","Mark Walker","M","Republican","NC","1969-05-20","Mark Walker","1",0
"528",412671,"SenSasse","Ben Sasse","M","Republican","NE","1972-02-22","Ben Sasse","0",0
"529",412672,"RepDanDonovan","Daniel M. Donovan Jr.","M","Republican","NY","1956-11-06","Daniel Jr.","0",0
"530",412673,"reptrentkelly","Trent Kelly","M","Republican","MS","1966-03-01","Trent Kelly","0",0
"531",412674,"RepLaHood","Darin LaHood","M","Republican","IL","1968-07-05","Darin LaHood","0",0
"519.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
